timestamps,TP9,AF7,AF8,TP10,Right AUX
1718226378.666,-36.133,-33.691,-54.199,-55.664,0.000
1718226378.670,-60.547,-44.922,-57.617,-59.570,0.000
1718226378.674,-74.707,-47.852,-60.059,-66.406,0.000
1718226378.678,-68.359,-48.340,-63.477,-66.895,0.000
1718226378.682,-54.199,-43.457,-59.082,-58.105,0.000
1718226378.686,-50.293,-48.340,-55.664,-49.805,0.000
1718226378.690,-58.594,-54.199,-54.688,-42.969,0.000
1718226378.694,-62.988,-54.688,-51.270,-53.223,0.000
1718226378.697,-54.688,-48.828,-39.062,-42.969,0.000
1718226378.701,-54.199,-41.504,-37.109,-33.203,0.000
1718226378.705,-56.641,-42.969,-35.645,-43.945,0.000
1718226378.709,-59.082,-51.758,-43.457,-54.199,0.000
1718226378.713,-64.941,-53.223,-60.547,-62.500,0.000
1718226378.717,-62.988,-47.363,-48.340,-47.363,0.000
1718226378.721,-69.336,-59.570,-42.480,-47.852,0.000
1718226378.725,-69.336,-65.430,-48.828,-65.430,0.000
1718226378.729,-62.500,-59.082,-46.875,-66.895,0.000
1718226378.733,-70.801,-65.918,-39.062,-53.223,0.000
1718226378.736,-75.684,-68.359,-42.480,-40.527,0.000
1718226378.740,-65.430,-60.547,-52.734,-52.734,0.000
1718226378.744,-51.270,-55.664,-46.387,-53.711,0.000
1718226378.748,-61.523,-60.547,-38.086,-56.641,0.000
1718226378.752,-71.289,-66.895,-37.109,-71.289,0.000
1718226378.756,-57.129,-62.012,-28.320,-67.383,0.000
1718226378.760,-43.457,-58.105,-20.508,-55.664,0.000
1718226378.764,-48.340,-55.664,-40.527,-60.547,0.000
1718226378.768,-51.270,-40.527,-40.527,-49.316,0.000
1718226378.772,-39.062,-40.527,-36.133,-50.781,0.000
1718226378.776,-39.062,-49.805,-43.945,-59.570,0.000
1718226378.779,-54.688,-55.664,-48.340,-57.129,0.000
1718226378.783,-54.199,-60.547,-45.898,-55.664,0.000
1718226378.787,-37.109,-52.734,-40.039,-48.828,0.000
1718226378.791,-27.344,-43.945,-45.410,-38.086,0.000
1718226378.795,-28.809,-41.016,-36.621,-24.902,0.000
1718226378.799,-50.781,-49.805,-37.109,-42.969,0.000
1718226378.803,-63.477,-62.500,-40.527,-54.688,0.000
1718226378.807,-43.945,-59.082,-34.180,-35.645,0.000
1718226378.811,-51.758,-56.152,-41.992,-36.133,0.000
1718226378.815,-59.082,-46.387,-44.434,-57.129,0.000
1718226378.819,-54.199,-39.062,-38.574,-58.105,0.000
1718226378.822,-49.805,-42.480,-42.969,-36.133,0.000
1718226378.826,-54.688,-46.387,-40.527,-30.273,0.000
1718226378.830,-72.754,-50.293,-42.969,-52.734,0.000
1718226378.834,-78.613,-51.270,-40.527,-60.059,0.000
1718226378.838,-58.594,-51.270,-36.133,-35.156,0.000
1718226378.842,-57.129,-57.129,-41.504,-33.691,0.000
1718226378.846,-57.129,-62.988,-49.805,-55.176,0.000
1718226378.850,-34.180,-61.523,-47.852,-48.340,0.000
1718226378.854,-24.902,-46.875,-46.387,-37.598,0.000
1718226378.858,-30.273,-41.992,-39.062,-41.992,0.000
1718226378.861,-39.551,-58.594,-40.039,-55.664,0.000
1718226378.865,-39.062,-51.270,-44.434,-59.570,0.000
1718226378.869,-42.969,-46.875,-52.734,-63.477,0.000
1718226378.873,-52.734,-50.293,-68.359,-66.406,0.000
1718226378.877,-41.016,-44.922,-54.199,-62.500,0.000
1718226378.881,-49.316,-43.457,-38.086,-66.406,0.000
1718226378.885,-69.824,-42.480,-39.551,-68.359,0.000
1718226378.889,-60.547,-38.086,-37.109,-63.965,0.000
1718226378.893,-44.434,-39.551,-35.156,-58.594,0.000
1718226378.897,-33.203,-37.109,-36.133,-48.340,0.000
1718226378.901,-48.828,-44.434,-42.969,-54.199,0.000
1718226378.904,-59.570,-56.152,-37.109,-53.223,0.000
